PERIOD,TYPE,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,REPORTING_ORG_NAME,REPORTING_ORG_CODE,CLUSTER_GROUP,BENCHMARK_GROUP,STAFF_GROUP_1_NAME,HC,FTE
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,All staff groups,22634,21053.01846
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,HCHS Doctors (exc. Resident doctors and equivalents),1743,1543.67886
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Nurses & health visitors,7117,6686.74223
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Midwives,357,308.54575
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Ambulance staff,2,1.6
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,"Scientific, therapeutic & technical staff",3843,3513.22458
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,"Support to doctors, nurses & midwives",3504,3275.30871
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Support to ambulance staff,53,53.0
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Support to ST&T staff,789,740.58186
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Senior managers,277,269.47
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Managers,173,167.5
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Central functions,2950,2856.19543
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,"Hotel, property & estates",1837,1620.37104
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Unknown classification,17,16.8
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,All staff groups,12984,12076.95809
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,HCHS Doctors (exc. Resident doctors and equivalents),1423,1248.68076
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,Nurses & health visitors,4714,4524.08062
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,Midwives,493,416.56517
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,"Scientific, therapeutic & technical staff",1928,1762.87243
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,"Support to doctors, nurses & midwives",2762,2529.3504
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,Support to ST&T staff,430,394.57364
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,Senior managers,162,159.93333
