PERIOD,TYPE,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,REPORTING_ORG_NAME,REPORTING_ORG_CODE,CLUSTER_GROUP,BENCHMARK_GROUP,STAFF_GROUP_1_NAME,HC,FTE
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,All staff groups,22555,20988.89046
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,HCHS Doctors (exc. Resident doctors and equivalents),1733,1535.62387
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Nurses & health visitors,7077,6651.08123
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Midwives,361,312.19908
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Ambulance staff,2,1.6
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,"Scientific, therapeutic & technical staff",3850,3526.14451
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,"Support to doctors, nurses & midwives",3495,3265.84537
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Support to ambulance staff,56,55.96
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Support to ST&T staff,779,730.30267
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Senior managers,277,269.20013
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Managers,169,163.7
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Central functions,2932,2834.93543
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,"Hotel, property & estates",1818,1607.66151
